Origem,Timestamp,Socket Connection Test
Stein,2018-12-06 18:19:49,PASS
Itaipu,2018-12-06 18:16:20,PASS
Starmilk,2018-12-06 18:15:49,PASS
Stein,2018-12-06 18:14:49,PASS
Itaipu,2018-12-06 18:11:20,PASS
Starmilk,2018-12-06 18:10:49,PASS
Stein,2018-12-06 18:09:49,PASS
Itaipu,2018-12-06 18:06:20,PASS
Starmilk,2018-12-06 18:05:49,PASS
Stein,2018-12-06 18:04:49,PASS
Itaipu,2018-12-06 18:01:20,PASS
Starmilk,2018-12-06 18:00:49,PASS
Stein,2018-12-06 17:59:49,PASS
Itaipu,2018-12-06 17:56:20,PASS
Starmilk,2018-12-06 17:55:49,PASS
Stein,2018-12-06 17:54:49,PASS
Itaipu,2018-12-06 17:51:20,PASS
Starmilk,2018-12-06 17:50:49,PASS
Stein,2018-12-06 17:49:49,PASS
Itaipu,2018-12-06 17:46:20,PASS
Starmilk,2018-12-06 17:45:49,PASS
Stein,2018-12-06 17:44:49,PASS
Itaipu,2018-12-06 17:41:20,PASS
Starmilk,2018-12-06 17:40:49,PASS
Stein,2018-12-06 17:39:49,PASS
Itaipu,2018-12-06 17:36:20,PASS
Starmilk,2018-12-06 17:35:49,PASS
Stein,2018-12-06 17:34:49,PASS
Itaipu,2018-12-06 17:31:20,PASS
Starmilk,2018-12-06 17:30:49,PASS
Stein,2018-12-06 17:29:49,PASS
Itaipu,2018-12-06 17:26:20,PASS
Starmilk,2018-12-06 17:25:49,PASS
Stein,2018-12-06 17:24:49,PASS
Itaipu,2018-12-06 17:21:20,PASS
Starmilk,2018-12-06 17:20:49,PASS
Stein,2018-12-06 17:19:49,PASS
Itaipu,2018-12-06 17:16:20,PASS
Starmilk,2018-12-06 17:15:49,PASS
Stein,2018-12-06 17:14:49,PASS
Itaipu,2018-12-06 17:11:20,PASS
Starmilk,2018-12-06 17:10:49,PASS
Stein,2018-12-06 17:09:49,PASS
Itaipu,2018-12-06 17:06:20,PASS
Starmilk,2018-12-06 17:05:49,PASS
Stein,2018-12-06 17:04:49,PASS
Itaipu,2018-12-06 17:01:20,PASS
Starmilk,2018-12-06 17:00:49,PASS
Stein,2018-12-06 16:59:49,PASS
Itaipu,2018-12-06 16:56:20,PASS
Starmilk,2018-12-06 16:55:49,PASS
Stein,2018-12-06 16:54:49,PASS
Itaipu,2018-12-06 16:51:20,PASS
Starmilk,2018-12-06 16:50:49,PASS
Stein,2018-12-06 16:49:49,PASS
Itaipu,2018-12-06 16:46:20,PASS
Starmilk,2018-12-06 16:45:49,PASS
Stein,2018-12-06 16:44:49,PASS
Itaipu,2018-12-06 16:41:20,PASS
Starmilk,2018-12-06 16:40:49,PASS
Stein,2018-12-06 16:39:49,PASS
Itaipu,2018-12-06 16:36:20,PASS
Starmilk,2018-12-06 16:35:49,PASS
Stein,2018-12-06 16:34:49,PASS
Itaipu,2018-12-06 16:31:20,PASS
Starmilk,2018-12-06 16:30:49,PASS
Stein,2018-12-06 16:29:49,PASS
Itaipu,2018-12-06 16:26:20,PASS
Starmilk,2018-12-06 16:25:49,PASS
Stein,2018-12-06 16:24:49,PASS
Itaipu,2018-12-06 16:21:20,PASS
Starmilk,2018-12-06 16:20:49,PASS
Stein,2018-12-06 16:19:49,PASS
Itaipu,2018-12-06 16:16:20,PASS
Starmilk,2018-12-06 16:15:49,PASS
Stein,2018-12-06 16:14:49,PASS
Itaipu,2018-12-06 16:11:20,PASS
Starmilk,2018-12-06 16:10:49,PASS
Stein,2018-12-06 16:09:49,PASS
Itaipu,2018-12-06 16:06:20,PASS
Starmilk,2018-12-06 16:05:49,PASS
Stein,2018-12-06 16:04:49,PASS
Itaipu,2018-12-06 16:01:20,PASS
Starmilk,2018-12-06 16:00:49,PASS
